Comments,Profine_words,No_words_per_comment,No_filtered_words,Is_profine,Avg_profine_per_comment,Avg_profine_per_filter_comment,No_profane_words
IS Nancy deadMy God that thing is Ugly as Hell,,10,7,0,0,0.0,0
Bills oralofficeFlawles Vicrtory,,3,3,0,0,0.0,0
She had to mention about Hillary chillton lmfao,,8,5,0,0,0.0,0
Imma just say this my dad is a republican trump supporter and my mom is the complete opposite ironically enough theyre divorced  and so Ive heard each side so generally Im in the middle and pretty unbiased And im gonna just say I usually see the Democratic Party getting more defensive and angry first but this time whew lets just say this lady is plain insane And bringing god into something political on tv is rather interesting Also how did the locker room talk turn into Hillary Clinton supporting abortion God politicians sounds so fucking retarded sometimes Its truly terrific entertainment,trump,102,54,1,0.00980392156862745,0.018518518518518517,1
The Oral Office,,3,3,0,0,0.0,0
immidiatly when that black guy talks i knew he was gay xD,gay,12,7,1,0.08333333333333333,0.14285714285714285,1
This was the time CNN began their major decline They used to tell stories and interview the Public Those days are long gone These constant shouting debates have gotten so old that death excites me now,,36,19,0,0,0.0,0
When americans refer to themselves as the free world,,9,4,0,0,0.0,0
Staged just like fox news,,5,3,0,0,0.0,0
Why did this show up in my recommended videos,,9,3,0,0,0.0,0
I only came to see the reaction of this man **,,11,4,0,0,0.0,0
CNN management watch Sky News to see how professional news is reported Your not even close,,16,10,0,0,0.0,0
It is ok for Bush to murder people yet they worry about thisWOW,,13,6,0,0,0.0,0
I wouldnt want a President who doesnt want to grab a couchie on occasion Toxic masculinity rules,,17,9,0,0,0.0,0
notice how there was a timeskip at 026 127 and 145 As expected from cnn they wont ever show the whole story thus losing credibility,,25,11,0,0,0.0,0
Why did this show up ,,6,2,0,0,0.0,0
Do you know the God youll claim to serve which youll frequently reference with its convenient Asking for a friend,,20,11,0,0,0.0,0
Lol could you imagine being stuck in a lift with that kind of degenerate filth,,15,7,0,0,0.0,0
The mans face when she said hes not running for pope,,11,5,0,0,0.0,0
Here is what Trump said as he was shocked that this wads happening too him  They let you grab their p**sys  Now I have seen this occur and ask aalmost any male security officer of the Hollywood Stars yes indeed these woman do let you grab their crotches  sign their breasts and asses  To them it is oh this famous guy did it  Even one of the old men from the Alaskan show was asked whatnhad changed in your life and he said woman come up to me all the time with their own sharpie and ask him to sign my tits He is in his sixties and his wife said they do it in front of her,,123,47,0,0,0.0,0
that women defending trump is like me in debate when Im arguing something I dont believe in lol,trump,18,9,1,0.05555555555555555,0.1111111111111111,1
AMEN SISTER Btw Boys only heard it because you spent months digging for shit that wasnt public You were beat Own it  Don Lemon,"shit, beat",25,16,1,0.08,0.125,2
peraaaays thaay loward Amen May gawd save the lord of trump,trump,11,9,1,0.09090909090909091,0.1111111111111111,1
Its funny how the lady cant stay on topic,,9,6,0,0,0.0,0
Ooooh boy The Clinton thing nailed it,,7,6,0,0,0.0,0
After about minute into a conversation I could already see I am wasting my time You just know it when upi hear it,,23,10,0,0,0.0,0
Cnnfake news,,2,2,0,0,0.0,0
Omg shes so stupid Im embarrassed for her Some people really try and justify any and everything,,17,7,0,0,0.0,0
Not giving work not taking pay*,,6,3,0,0,0.0,0
118 that face,,3,2,0,0,0.0,0
if you have xx videowhat can do it for internationalor TV,,11,4,0,0,0.0,0
They cut very well the video like the Covingtons manifestation,,10,6,0,0,0.0,0
I am a Trump supporter but this woman was horrible at answering the questions,,14,7,0,0,0.0,0
Jesus wouldnt waist his time with a white supremacist as he was a dark skin middle Eastern,dark,17,9,1,0.058823529411764705,0.1111111111111111,1
I agree on the position I just dont feel conservative and the Christian religion are necessarily synonymous and using the term Christian religion very loosely Indeed keep your eyes peeled and your ears open because I definitely heard or seen the article rather that says that church and state are reconciling Protestant have fallen back under the Catholic Church for some very suspicious reason We also see Trump with a bunch of Catholic priests Dont necessarily know the details of whats going on here but its probably not good I have conservative values I Believe In Christ and Im definitely not a Catholic or into Catholicism,,106,52,0,0,0.0,0
Wow Democracy with voters like this will be a challenge,,10,5,0,0,0.0,0
I love how these wing nuts can justify ANYTHING when they conveniently drag God into the equation There is a special place in hell for these people,,27,15,0,0,0.0,0
Im just sitting here enjoying the black dudes reactions as shes talking lol Anybody else,,15,9,0,0,0.0,0
I hope that ladys husband is perfect because the 2 are one Sins of one are the sins of the 2 right,,22,9,0,0,0.0,0
I hated it when Trump called young black men SUPER PREDATORS hated it when he then spun it by going on a black radio show and tried to pander to blacks with hot sauce and a concert oh yeah that was Clinton wasnt it,,44,21,0,0,0.0,0
SCIOLAROwhoreOtrump SATANIC BLASPHEME BRAG she knows GOD she knows THE UNKNOWABLE bahh BIBLEBELTSERIALKILLERS stock angry lady of THE SPECIAL 25 of FOXTRUMPstatenews  for the 33,,26,18,0,0,0.0,0
one should not hold professional discussion with lay people at the same token one should be careful having conversations with the halfknowledged these conversations mostly sound very similar to this one it is like talking in circles hopping from one issue to the next I bet that this woman believes herself educated and born to higher purpose,,57,23,0,0,0.0,0
Dont forget this is the same news network that calls AR15s fully semiautomatic,,13,8,0,0,0.0,0
Thus proving two wrongs make a right  NOT,,9,5,0,0,0.0,0
They all wear GIANT crossesnever the small gold ones worn near the heart,,13,8,0,0,0.0,0
Holy shit I remeber seeing this lady on lmao,shit,9,6,1,0.1111111111111111,0.16666666666666666,1
I talk about girls in a way I would never say in front of my sister or mom Im sorry but its true,,23,9,0,0,0.0,0
God I love that lady,,5,4,0,0,0.0,0
This really IS the way the Evangelical portion of his base thinks,,12,6,0,0,0.0,0
Wow talking about double standards ,,6,5,0,0,0.0,0
Real names And Facts thats what needs to be made aware,,11,5,0,0,0.0,0
um abortion wasnt discussed in the debate at all,,9,4,0,0,0.0,0
Its not assault if theres consent Retards,,7,4,0,0,0.0,0
Lordt when she said everybody knew he had Strip clubs the guy face when she said that,,17,6,0,0,0.0,0
The oral office I almost fell outta my chair,oral,9,7,1,0.1111111111111111,0.14285714285714285,1
I think it might be her lack of critical thinking skills,,11,5,0,0,0.0,0
All of Trumps supporters are beligerant immature and *Angry* just like him No one in their right mind would support this guy Also no one in this genoration has seen a president with so much poise and class such as the Obamas Now i definitely disagree with Obama on many Avenues but hes definitely the measuring stick of how a President should carry himself Trump is trash and theres no comparison Clinton stoops down to Trumps level so that says a lot about her as well When Obama was running for President he NEVER behaved like Trump even when we expected him to I honestly dont think that Obama wouldhave been given a chance to continue had he behaved like Trump This whole election seems to be a joke Everyone sees it including Trumps desprate supporters I dont think theyre this stupid but however they are willing to go against sound intellect to support this man His supportors is hoping for a new era of the 1950s but its not going to happen If anything we may get invaded and attacked due to his immaturity and poor leadership Im certain that he will offend other leaders of our alied countries during visits to their country because of his immaturity Malania woud be the *worst* first lady wow He may be the president of a Hotel chain but running this country is waaaay out of his league I dont want to vote for niether and since were braking barriers in this country lets reelect Obama I prefer that,,257,114,0,0,0.0,0
 CNN if you will not stand up for Marc Lamont Hill as you did Jim Acosta then never complain about FOX NEWS because it makes both of your organizations the Same paid and bought for,,36,16,0,0,0.0,0
It isnt actually that hard Just use logic and facts and CNN will cut that mic or video feed right quick,,21,13,0,0,0.0,0
God can use anybody more like satan using him,,9,2,0,0,0.0,0
Everybody Laughed till TRUMP WON Now theyre laughing again while NWO takes root Bet theyll still be Laughing when Martial Law is declared n theyre herded into Concentration Camps n guess who theyll blame TRUMP n not the BANKSTERS BankerGangsters not that U understand but its ok Did U Know they have a Card game for this IT Wake up SHEEPLE its 2019,,63,36,0,0,0.0,0
Sums up trump supporters in one video,trump,7,4,1,0.14285714285714285,0.25,1
This guy so feminine talk like a man bro,,9,6,0,0,0.0,0
The whole way through she is explaining how no one is perfect I understand people have flaws but why would you want someone with so many big flaws as president isnt the president supposed to set an example All she is doing is excusing and justifying his actions at the end of the day none of his actions match the caliber of a great president,day,65,25,1,0.015384615384615385,0.04,1
Hillary and Bill The two are one No they are not They are individuals Hes not running to be the Pope YOU lady have an excellent concept of the obvious He was running for President which ALSO requires nobility,,39,20,0,0,0.0,0
hillbilly white trash dotards base god can use this man geez,,11,8,0,0,0.0,0
So by this womans logic we should be able to bring up Melanias past of being an escort than Huh,,20,7,0,0,0.0,0
Millions of boys were educated by the locker room comment thanks to the Media,,14,7,0,0,0.0,0
Wow,,1,1,0,0,0.0,0
Hey libs If you claim Trumps supporters are dumb but also support socialism and or communism then to say youre looking in a mirror is exponentially far from driving the point across about how substantial the stupidity is in that statement,,41,17,0,0,0.0,0
For once CNN admits to their lack of skill when it comes to debating,,14,6,0,0,0.0,0
Another reason why we need to have an IQ test to vote,test,12,5,1,0.08333333333333333,0.2,1
Please help the victims They still need our help GoFundMecomgovernmentshutdownvictims Thank you,,12,7,0,0,0.0,0
This woman should consult for cognitive dissonance as soon as possibleShe is a sick womanHer mind is wasted with religious beliefs since childhoodThis planet is living in a religious delirium I think,,32,18,0,0,0.0,0
People who liked this video are CNN haters People who disliked this video also CNN haters So dont think people buying your propaganda,,23,14,0,0,0.0,0
Right on lady I agree with you As long as he does his job so what,,16,7,0,0,0.0,0
lol how can America be the free world when no one in America has freedom,,15,5,0,0,0.0,0
Is that cross upside down  Damn,,7,5,0,0,0.0,0
That stupid woman insults me No men do NOT talk like this Stupid not grownup might do that,,18,10,0,0,0.0,0
CCN get of the Internet go back to your dung hole TELEVISION,,12,5,0,0,0.0,0
The lady called Trump a harlot without realizing Way to defend himGod used the harlotsGod can use this man,,19,11,0,0,0.0,0
I hate how she brings God into this,,8,4,0,0,0.0,0
Clintons floored,,2,2,0,0,0.0,0
Trump ADMITTED to sexual assault Wow CNN takes the worst possible interpretation of anything Trump,,15,10,0,0,0.0,0
That was awesome TRUMP 2020,,5,4,0,0,0.0,0
I cant wait for the 2nd civil war,,8,6,0,0,0.0,0
If I had my own show I would find the dumbest Hillary supporter too To push my narrative,,18,10,0,0,0.0,0
It was a out of context joke damnit,,8,4,0,0,0.0,0
Person on the left appears to be tweakin Just sayin,,10,6,0,0,0.0,0
I will carry out great vengeance on them and punish them in my wrath Then they will know that I am the LORD when I take vengeance on them Samuel L Jackson,L,32,16,1,0.03125,0.0625,1
It feels so good to be Canadian right now,,9,4,0,0,0.0,0
Was it news to the black guy that Trump wasnt running for Pope,,13,7,0,0,0.0,0
The lady in the center is all biased Sure its CNN,,11,6,0,0,0.0,0
CNN Corny Neglective NoShow,,4,4,0,0,0.0,0
Amen  thats what I say Revelation is here,,9,4,0,0,0.0,0
If Donald Trump became president America youre going to have a big big problem,,14,9,0,0,0.0,0
Best CNN interview ever,,4,3,0,0,0.0,0
I love this lady She does have a point,,9,5,0,0,0.0,0
the oral office lmfao thats very funny maam,oral,8,5,1,0.125,0.2,1
This was funny I love the mans faces,,8,6,0,0,0.0,0
I just want trump to win to see the looks on the faces of all the media outlets,trump,18,6,1,0.05555555555555555,0.16666666666666666,1
JFK put man in the moon Obama put man in the womens restroom plus gave iran 150 billion dollars,,19,11,0,0,0.0,0
God can use this man Trump WTF world are we living in,,12,5,0,0,0.0,0
Its always justified by religion why is it always about religion,,11,4,0,0,0.0,0
Clinton WAS the oral office ,oral,6,5,1,0.16666666666666666,0.2,1
Breaking News Trump has killed 10 children Supporters Its not his fault Everyone kills someone So leave trump alone,trump,19,14,1,0.05263157894736842,0.07142857142857142,1
Nobody is perfect lol but she more than likely hates obama,,11,5,0,0,0.0,0
THE ORAL OFFICE,,3,3,0,0,0.0,0
God bless president Trump MAGA2020 WWG1WGA,,6,6,0,0,0.0,0
Bill Clinton used his security detail and his procuring detail still does and the GreenLeftists said NOTHING Bad behavior on the Right or the Left  should not be tolerated and swept under the rug I just hate hypocrisy,,39,19,0,0,0.0,0
If you see it as an entertaining show instead of a serious talk or debate you can still feel the fun,,21,7,0,0,0.0,0
Conservatives abortions murder Also conservatives stop planned parenthood Im not helping support ppl with babies Lol,,16,13,0,0,0.0,0
I would absolutely bang the snot out of Brooke Baldwin,,10,6,0,0,0.0,0
FAKE NEWS,,2,2,0,0,0.0,0
CNN is about to get Trumped,,6,2,0,0,0.0,0
mercy kindness forgiveness understanding others never mock anyone respect all,,10,6,0,0,0.0,0
I love my uneducated supporters  LOL,,7,6,0,0,0.0,0
Strong lady TRUMP2020,,3,3,0,0,0.0,0
hahaha I heard the anchor say the free world meaning America u dont look to free from Australia buddy,,19,11,0,0,0.0,0
I think I just lost IQ points,,7,5,0,0,0.0,0
I sincerely hope this was some sort of joke Lol,,10,6,0,0,0.0,0
Dudes face is priceless,,4,3,0,0,0.0,0
Im cringing so much Its so painful to watch it,,10,5,0,0,0.0,0
Clinton news network back at it again,,7,3,0,0,0.0,0
thats what happens when you debate a cabbage patch kid,,10,4,0,0,0.0,0
This woman is obviously disconnected from the Mainstream of society by some Messianic Complex compelling her to disregard one perceived immortality for another,,23,11,0,0,0.0,0
CNN can dish it out but they cant take it I dont agree with this crazy lady but shes using the same tactics CNN is always pushing,,27,11,0,0,0.0,0
After talking to Vicky you need a lot of Tylenols,,10,5,0,0,0.0,0
You see folks this is why inbreeding is strongly discouraged in civilized societies,,13,6,0,0,0.0,0
classic CNN bashing trump,trump,4,4,1,0.25,0.25,1
Cnn how old are you,,5,1,0,0,0.0,0
IS THAT REPORTER IN BLACK FACE ,,7,7,0,0,0.0,0
this is cnns most viewed video alrighty then,,8,4,0,0,0.0,0
Trump 2020,,2,2,0,0,0.0,0
Deeply brainwashed very sad usa this days,,7,5,0,0,0.0,0
Mike rod yes i agree we are all black slaves to god,,12,6,0,0,0.0,0
Fake news channel,,3,3,0,0,0.0,0
To all the people who waste their precious time watching CNN all day I hope youre learning something,day,18,11,1,0.05555555555555555,0.09090909090909091,1
CNN anchors DESTROY crazy straw woman MUST WATCH,,8,8,0,0,0.0,0
How to start a comment war Step 1 I support Donald J Trump Step 2 Wait,,16,14,0,0,0.0,0
CNN is obviously illusional on picking side,,7,4,0,0,0.0,0
The Trump supporter had some good points,,7,5,0,0,0.0,0
i thinkfanatic peopleare not in usahow about this  Kakakakaka,,10,5,0,0,0.0,0
Duct Taping does not count,,5,3,0,0,0.0,0
if god can use anybody then why is she worried about who becomes president,,14,3,0,0,0.0,0
Whats scary is how quickly some people are to dismiss other peoples views when they do not streamline with their own,,21,7,0,0,0.0,0
Of course CNN would put this quack on to represent his base theres a few dems just like her,,19,7,0,0,0.0,0
CNN milquetoast house Negro,,4,4,0,0,0.0,0
Im speechless,,2,2,0,0,0.0,0
This is your average trump supporter,trump,6,4,1,0.16666666666666666,0.25,1
Hitler was okay After all NOBODY IS PERFECT,,8,5,0,0,0.0,0
 that was a pushup,,5,2,0,0,0.0,0
When the lady said strip club the black guy smiled,,10,7,0,0,0.0,0
Oral office  Im done,,5,4,0,0,0.0,0
Ask Vicki if she has a husband and would it be okay if he talked like that around her,,19,4,0,0,0.0,0
CNN the joke of news,,5,3,0,0,0.0,0
Say in reply 110 how bid of a democratic news station and unfair,,13,8,0,0,0.0,0
God could use Hillary Clinton by her logic,,8,4,0,0,0.0,0
Why are all trump supporters so hostile I have never seen one who is calm AND intelligent Its one or the other,trump,22,9,1,0.045454545454545456,0.1111111111111111,1
oh why did I open this vid So when someone has a good character one behaves the same way being recorded or not,,23,8,0,0,0.0,0
MAGA2020,,1,1,0,0,0.0,0
CNN said hes running to be President of the free world I thing they need more registered voters,,18,8,0,0,0.0,0
thanks you look nice,,4,1,0,0,0.0,0
America has become a laughing stock with these nominees,,9,4,0,0,0.0,0
Oh I thought she was going to storm off the stage I need to read the title of the video more closely lol,,23,12,0,0,0.0,0
I searched for Fox News videos how does youtube justify this as a valid result,,15,9,0,0,0.0,0
He owns strip clubs he should lead our countries,,9,6,0,0,0.0,0
Thats prison locker room talk,,5,5,0,0,0.0,0
Omg Trump supporter offended a CNN person what a scandal,,10,7,0,0,0.0,0
Hey Kansas city Nice barbecue,,5,5,0,0,0.0,0
This is another reason I do my best not to watch that shit known as CNN Out of all the things to cover and discuss,shit,25,11,1,0.04,0.09090909090909091,1
Crisis actor making a little side cash talking trash,,9,7,0,0,0.0,0
Its wrong *but but but*,,5,4,0,0,0.0,0
Hmm do I vote for the liar or the asshole what wonderful choices,,13,7,0,0,0.0,0
Well its 2019 and look at the country NOW,,9,4,0,0,0.0,0
Woman have a bigger mouth sometimes then us men I remember my days as a towel boy at the gym,,20,10,0,0,0.0,0
Devil talking through Duck tell that lady to shut up,,10,5,0,0,0.0,0
All men do locker room talk to each other,,9,5,0,0,0.0,0
the guys reaction lol,,4,3,0,0,0.0,0
Look at george Washington he had slaves and he was honored president trump is the man 2020 Im a dude and i talk about grabbing my wifes pussy all the time and she loves it too,trump,36,17,1,0.027777777777777776,0.058823529411764705,1
John and Emma Harlot they were our next door neighbor when I was a kid Oh and by all means give the Clintons a pass,,25,10,0,0,0.0,0
Honestly this is something most of the media doesnt want you to see Its a fact that Donald Trumps did asualt women which is not right and he DID confess But at least he didnt lie He owned up to it Now dont we want an honest President,,48,20,0,0,0.0,0
Its on cnn,,3,2,0,0,0.0,0
The ORAL OFFICE that made me laugh so hard lol,,10,6,0,0,0.0,0
Agent orange could hold someone hostage on live tv and idiots would still support him,,15,8,0,0,0.0,0
Oh I love hearing this delusional comments lol  We got CNN fake news fans here  Lets the IQ,,20,16,0,0,0.0,0
Bendiciones para todos y todas por su hermosa palabras hijas las amaooooo,"por, su",12,11,1,0.16666666666666666,0.18181818181818182,2
CNN IS FAKE NEWS,,4,4,0,0,0.0,0
Im so happy Im Canadian,,5,4,0,0,0.0,0
They are a very interesting species,,6,3,0,0,0.0,0
OK vicky,,2,2,0,0,0.0,0
And now Trump is a vessel of Gods will I think not,,12,6,0,0,0.0,0
God can do this SSSShhhhh Vicki,,6,3,0,0,0.0,0
Nobodys perfect but not everybody jokes about sexual assault,,9,5,0,0,0.0,0
I cant stand the dudes voice,,6,5,0,0,0.0,0
Who called me,,3,2,0,0,0.0,0
Welcome to the NWO where Truth is Stranger than Fiction MK UltraaaaaaaaaaaaaaaaaaaaaaaaREBOOT MK ULTRA ahem,,15,10,0,0,0.0,0
God help you CNN,,4,3,0,0,0.0,0
The Oral Office Love it,,5,4,0,0,0.0,0
BS title,,2,2,0,0,0.0,0
I LOVE THIS LADY,,4,4,0,0,0.0,0
Go trump 2020,trump,3,3,1,0.3333333333333333,0.3333333333333333,1
Shes that crazy aunty many of us have and dont talk 2,,12,6,0,0,0.0,0
Has anyone else noticed how that woman was the only one yelling,,12,4,0,0,0.0,0
Chump and his supporters have the IQ of 2,,9,4,0,0,0.0,0
The man of color is about dumb as a brick,,10,5,0,0,0.0,0
The guy on the left is hilarious looks like a lizard,,11,5,0,0,0.0,0
So when did she leave speechless Hmm probably never did,,10,4,0,0,0.0,0
this is why I dont understand trump supporters,trump,8,5,1,0.125,0.2,1
She reminds me of the lady eating the sub in the football meeting room in kimmy Schmidt,,17,9,0,0,0.0,0
This is old why is this on top,,8,2,0,0,0.0,0
And here we are 2 years into his presidency and were in the middle of the longest shutdown in US history over the broken promise of Mexico paying for the wall  all as a distraction to the Russia investigation We knew then what wed get  and people still voted for Trumptard,,53,24,0,0,0.0,0
All of those illegal s still got sacrificed without her she missed the party,,14,5,0,0,0.0,0
I dont understand how people can think that Trump is Gods choice for being president,,15,8,0,0,0.0,0
Three 70 iq individuals going at it Can see the steam from their ears in order to spew this utter nonsense,,21,12,0,0,0.0,0
This is mental,,3,2,0,0,0.0,0
hahah amazing lol,,3,3,0,0,0.0,0
Im not american and I thought trump supporters were kinda stupid but damn,"trump, damn",13,9,1,0.15384615384615385,0.2222222222222222,2
I have spent 32 years in locker rooms as a triathlete weight trainer cyclist swimmer instructor football rugby player coach and i dont remember hearing this kind of locker talk this must be unique to Republican locker rooms,,38,26,0,0,0.0,0
Fantastic Vicki Sciolaro is righton,,5,4,0,0,0.0,0
We all know the older white lady is with Jesus God knows we dont need her down here Shes not tryna be the pope,,24,10,0,0,0.0,0
I truly believe Trump being president was part of Gods Plan,,11,5,0,0,0.0,0
The most amazing part about this is that this women is pleased with herself,,14,4,0,0,0.0,0
Donald trump is amazing,trump,4,3,1,0.25,0.3333333333333333,1
Wow Vicky I hope your never allowed teach at any schools,,11,7,0,0,0.0,0
Everybody knew Trump had strip clubs,,6,5,0,0,0.0,0
I love rewatching these and seeing how desperate cnn was,,10,5,0,0,0.0,0
The rest of the world is making fun of Trump and his bonehead supporters The rest of the world cant believe that narcisstic totally incompetent unpolitical unserious unintelligent racist chauvinistic fraudulent and magalomaniac nutheads like Trump are allowed to run for presidency in the US in the first place It seems like this is a very very bad joke and I really wish everything is just a big fat prank I really hope that during the final presidential debate Trump is ripping off his mask and underneath it Andy Kaufman appears with a big smile on his face Geez I would be relieved,,103,51,0,0,0.0,0
NWO,,1,1,0,0,0.0,0
I just dont know  how can Trump win the election,,11,6,0,0,0.0,0
Muellers report Ha ha ha Conclusion to the delusions,,9,7,0,0,0.0,0
yeah,,1,1,0,0,0.0,0
um God can use Clinton too by that logic it works both ways,,13,6,0,0,0.0,0
CNNshould be on a comedy channel,,6,3,0,0,0.0,0
We can talk but only about what I want ok not,,11,3,0,0,0.0,0
hears one for ya lady go eat a carrot Trump style,ya,11,7,1,0.09090909090909091,0.14285714285714285,1
WHERES MY SUPER SUIT,,4,4,0,0,0.0,0
HAHA Gooduck America well be watching XD,,7,6,0,0,0.0,0
222 There are triggered,,4,3,0,0,0.0,0
Lol The Oral Office,,4,4,0,0,0.0,0
wow Im a republical and Im ashamed,,7,5,0,0,0.0,0
What if God dont want dat shiz,,7,5,0,0,0.0,0
Can you imagine this woman serving on a jury  God help us all,,14,8,0,0,0.0,0
CnN always tells the truth,,5,3,0,0,0.0,0
Amerian person injured in accident  seriously abuse tragedy,,9,8,0,0,0.0,0
You cant cure crazy,,4,4,0,0,0.0,0
So in democrats minds it is OK for Bill Clinton to get BJs from an intern while in office But it is not OK for Trump to say something from 10 years before when he was not even considering running for office,,42,17,0,0,0.0,0
The fact that she used religion to justify his sctions yet again another white conservative supremist using their faith as a backdoor,,22,10,0,0,0.0,0
She probably got killed for being to wise,,8,3,0,0,0.0,0
CNNs videos are hate speech,,5,4,0,0,0.0,0
Purple Porcupine 2020,,3,3,0,0,0.0,0
She got em good lol,,5,4,0,0,0.0,0
This dudes all like bish waaa,,6,4,0,0,0.0,0
Love is my sin and thy dear virtue hate Hate of my sin grounded on sinful loving O but with mine compare thou thine own state And thou shalt find it merits not OOOOHHHHH I triedI still HATE LIBS TRUMP2020,,40,26,0,0,0.0,0
CNN Certainly Not News,,4,4,0,0,0.0,0
I think God and Jesus are tired of people using them as a tactic for more votes,,17,7,0,0,0.0,0
I seriously dont think the locker room talk has anything to do with the politics CNN tried every possible way to destroy Trump time has changed and someone like Trump needs to run the president,,35,14,0,0,0.0,0
Heres the bottom line Donald J Trump is a FOOLand hes DELUSIONAL ButHillary Clinton is CORRUPT and a LIAR which she has demonstrated NUMEROUS times What a CHOICE,,28,16,0,0,0.0,0
Just wow,,2,2,0,0,0.0,0
THE ORAL OFFICE,,3,3,0,0,0.0,0
Omg god doesnt have nothing to do with it get out of hear,,13,4,0,0,0.0,0
All trump supporters are being watched,trump,6,4,1,0.16666666666666666,0.25,1
this is why people shouldnt inbreed,,6,3,0,0,0.0,0
Trump 2020,,2,2,0,0,0.0,0
Seriously stop shaming people who have better jobs than you,,10,5,0,0,0.0,0
006 Damn I thought there was glass between them,,9,5,0,0,0.0,0
lol if those cats ate Khlo they mustve been sick from all those silicone,,14,7,0,0,0.0,0
Maybe the people need to mind their own business instead of judging this man for single handedly RAISING big cats I think that is worthy of a round of applause not a this is bad or this is dangerous,,39,17,0,0,0.0,0
Some one trying to do good in the world and all you guys do is go straight to the minor negative parts and try to degrade and tear them down then you wonder why society has the problems it does instead of being negative if your going to report on him why not try and help him build his progress in the right direction or stay out of his business,,70,21,0,0,0.0,0
Who else thought the guy was behind the glass,,9,4,0,0,0.0,0
Crikey that woman has the worst possible American accent Dreadful,,10,6,0,0,0.0,0
I litreally hate this woman,,5,4,0,0,0.0,0
Black panther sequel,,3,3,0,0,0.0,0
Black Panther Neva freeze,,4,4,0,0,0.0,0
This man is a member of the pack the woman isnt thats the problem they dont know her or trust her and she is in their territory,pack,27,10,1,0.037037037037037035,0.1,1
I dont know everything about this specific man or his sanctuary but the way to get people to care about animals is to show them the animals Let them interact with them touch them when they can Is there a risk Sure fully explain those risks and how to minimize them before doing it Theres a risk to diving with sharks and people still do that Its different when its a for profit business when they are breeding the animals and exploiting them Every sanctuarys first obligation is to educate people on the animals and why they do not make good pets but also to show them how wonderful they are These cats also look like they have better lives than most zoos or sanctuaries,,125,45,0,0,0.0,0
